time_years,n,mae_raw,median_abs_log10_ratio,q90_abs_log10_ratio,frac_within_2x,frac_within_5x,frac_within_10x,coverage_90_cal,time_bin
2.69984794520548,14,0.0142096464138053,0.0043769822907573,0.008066506052149,1.0,1.0,1.0,1.0,1y--10y
2.7999164383561643,44,0.0122311125431063,0.0032765251793473,0.0080666055117278,1.0,1.0,1.0,1.0,1y--10y
2.8999849315068493,44,0.0143535065683029,0.003887992813031,0.0092297766501423,1.0,1.0,1.0,1.0,1y--10y
3.0000534246575343,44,0.0147610381932546,0.0038310687595445,0.0105306319149114,1.0,1.0,1.0,0.9772727272727272,1y--10y
3.100121917808219,44,0.033664206698395,0.0065888709660489,0.0192572112311039,1.0,1.0,1.0,0.9545454545454546,1y--10y
3.200190410958904,44,0.0240153200102591,0.0047178165048555,0.0127059840718627,1.0,1.0,1.0,1.0,1y--10y
3.300258904109589,44,0.025782722050358,0.004649308799112,0.0144320140714939,1.0,1.0,1.0,1.0,1y--10y
3.400327397260274,44,0.0257854858914269,0.0046501041187927,0.0144334776541817,1.0,1.0,1.0,1.0,1y--10y
3.500395890410959,44,0.025783886104267,0.0046509042887898,0.0144347283318251,1.0,1.0,1.0,1.0,1y--10y
3.600464383561644,44,0.0257831791799516,0.0046516086162677,0.0144357682715949,1.0,1.0,1.0,1.0,1y--10y
3.699532191780822,44,0.0257854462907759,0.0046519293800016,0.0144368351611227,1.0,1.0,1.0,1.0,1y--10y
3.799600684931507,44,0.025786990674313,0.004652491121785,0.0144359181050073,1.0,1.0,1.0,1.0,1y--10y
3.899669178082192,44,0.0257887129971319,0.004652767823387,0.0144368047028632,1.0,1.0,1.0,1.0,1y--10y
3.999737671232877,44,0.0257875788615737,0.0046531545081055,0.0144374977810305,1.0,1.0,1.0,1.0,1y--10y
4.099806164383562,44,0.0257844075065637,0.0046535053187403,0.0144380401099379,1.0,1.0,1.0,1.0,1y--10y
4.199874657534247,44,0.0257856102539211,0.0046539583816209,0.0144384537436198,1.0,1.0,1.0,1.0,1y--10y
4.299943150684931,44,0.0257863997384775,0.0046540842069951,0.0144389891243965,1.0,1.0,1.0,1.0,1y--10y
4.400011643835617,44,0.0257810144906377,0.0046543651053823,0.0144239195950732,1.0,1.0,1.0,1.0,1y--10y
4.500080136986301,44,0.0257795379754333,0.0046546322809116,0.0144244243391423,1.0,1.0,1.0,1.0,1y--10y
4.600148630136987,44,0.0257804745509902,0.0046550014286198,0.0144249043340312,1.0,1.0,1.0,1.0,1y--10y
4.700217123287671,44,0.0257809465146623,0.0046430661160971,0.01442554131553,1.0,1.0,1.0,1.0,1y--10y
4.800285616438356,44,0.025781876651562,0.0046433115904228,0.0144259865192768,1.0,1.0,1.0,1.0,1y--10y
4.900354109589042,44,0.0257779159665642,0.0046422821075498,0.0144264396877061,1.0,1.0,1.0,1.0,1y--10y
5.000422602739726,44,0.0257785810507458,0.0046425110152789,0.0144266256991881,1.0,1.0,1.0,1.0,1y--10y
